Airline,Source,Destination,Total_Stops,Month_of_Journey,Day_of_Journey,Duration_in_minute,Price
Vistara,Banglore,New Delhi,1 stop,3,3,355,12476
Jet Airways,Kolkata,Banglore,1 stop,12,6,800,13044
Jet Airways,Delhi,Cochin,1 stop,9,5,1225,12373
Multiple carriers,Delhi,Cochin,1 stop,3,3,665,17057
Jet Airways,Banglore,New Delhi,1 stop,12,3,920,13817
Jet Airways,Delhi,Cochin,2 stops,9,5,1430,15129
Air Asia,Banglore,New Delhi,non-stop,9,3,170,7652
Air Asia,Banglore,Delhi,non-stop,6,15,170,4282
Air Asia,Kolkata,Banglore,non-stop,5,24,155,4409
Jet Airways,Delhi,Cochin,2 stops,3,6,1620,11507
IndiGo,Kolkata,Banglore,non-stop,4,15,160,4174
Jet Airways,Banglore,Delhi,non-stop,6,5,180,7229
IndiGo,Chennai,Kolkata,non-stop,6,27,140,5277
Multiple carriers,Delhi,Cochin,1 stop,1,6,720,13587
Jet Airways,Delhi,Cochin,1 stop,12,6,1485,10262
Vistara,Banglore,Delhi,non-stop,12,4,155,5613
Jet Airways,Delhi,Cochin,1 stop,1,6,1395,14714
Jet Airways,Banglore,New Delhi,1 stop,6,3,1420,14815
Jet Airways,Kolkata,Banglore,1 stop,1,4,705,7064
Jet Airways,Delhi,Cochin,1 stop,6,6,1570,10262
Jet Airways,Delhi,Cochin,2 stops,9,5,425,16274
Jet Airways,Delhi,Cochin,1 stop,1,6,395,10262
SpiceJet,Mumbai,Hyderabad,non-stop,1,5,90,2437
Jet Airways,Kolkata,Banglore,1 stop,9,6,1685,12692
Multiple carriers,Delhi,Cochin,1 stop,6,24,830,5797
Multiple carriers,Delhi,Cochin,1 stop,3,3,575,21226
Jet Airways,Banglore,Delhi,non-stop,3,4,175,7229
Jet Airways,Banglore,Delhi,non-stop,12,5,175,5198
Air Asia,Kolkata,Banglore,non-stop,3,5,150,5989
Air India,Delhi,Cochin,2 stops,5,18,1470,12940
Jet Airways,Kolkata,Banglore,1 stop,5,18,585,13941
Air India,Chennai,Kolkata,non-stop,1,5,135,4667
Air India,Kolkata,Banglore,2 stops,6,5,1385,13227
IndiGo,Delhi,Cochin,1 stop,12,6,295,6496
Multiple carriers,Delhi,Cochin,1 stop,6,15,615,11789
IndiGo,Delhi,Cochin,1 stop,3,3,485,14871
Jet Airways,Kolkata,Banglore,1 stop,6,6,690,13469
Multiple carriers Premium economy,Delhi,Cochin,1 stop,3,21,680,14629
Multiple carriers,Delhi,Cochin,1 stop,6,27,910,6270
Air India,Banglore,New Delhi,1 stop,1,3,950,10981
Jet Airways,Kolkata,Banglore,1 stop,9,6,510,10844
Jet Airways,Kolkata,Banglore,1 stop,3,24,660,11134
Multiple carriers,Delhi,Cochin,1 stop,5,24,455,7740
IndiGo,Kolkata,Banglore,non-stop,1,5,155,4804
Jet Airways,Banglore,Delhi,non-stop,3,5,180,7229
Jet Airways,Delhi,Cochin,2 stops,6,3,2860,20694
Jet Airways,Kolkata,Banglore,1 stop,5,15,1730,9314
Jet Airways,Kolkata,Banglore,1 stop,9,5,400,14781
SpiceJet,Kolkata,Banglore,non-stop,6,21,150,3873
Jet Airways,Delhi,Cochin,2 stops,3,27,2300,9254
Multiple carriers,Delhi,Cochin,1 stop,5,21,460,9103
Air India,Delhi,Cochin,1 stop,3,4,1640,5117
Jet Airways,Kolkata,Banglore,1 stop,9,6,1415,10844
Air India,Kolkata,Banglore,2 stops,5,15,1170,6117
Jet Airways,Kolkata,Banglore,1 stop,12,5,585,14388
Air India,Delhi,Cochin,2 stops,3,6,1210,10467
Jet Airways,Kolkata,Banglore,1 stop,5,24,435,8781
Vistara,Kolkata,Banglore,1 stop,1,4,945,8295
IndiGo,Banglore,New Delhi,non-stop,3,15,180,6860
IndiGo,Delhi,Cochin,1 stop,3,21,755,8285
Jet Airways,Delhi,Cochin,1 stop,5,27,715,12898
IndiGo,Kolkata,Banglore,non-stop,3,5,155,4804
Jet Airways,Delhi,Cochin,2 stops,5,24,1195,15129
Jet Airways,Kolkata,Banglore,1 stop,5,24,330,9663
IndiGo,Kolkata,Banglore,1 stop,6,5,325,6218
IndiGo,Banglore,New Delhi,non-stop,3,24,175,6144
Air Asia,Delhi,Cochin,1 stop,3,6,830,11410
GoAir,Kolkata,Banglore,1 stop,5,15,455,7831
Jet Airways,Banglore,Delhi,non-stop,6,27,165,6478
Vistara,Delhi,Cochin,non-stop,9,3,190,7266
Vistara,Chennai,Kolkata,non-stop,1,5,140,11982
Jet Airways,Kolkata,Banglore,1 stop,6,5,800,7757
Multiple carriers,Delhi,Cochin,1 stop,9,3,490,12616
Multiple carriers,Delhi,Cochin,1 stop,5,15,490,7670
IndiGo,Banglore,Delhi,non-stop,5,21,170,4823
Multiple carriers,Delhi,Cochin,1 stop,6,27,630,8266
Vistara,Chennai,Kolkata,non-stop,1,6,135,3687
Air India,Kolkata,Banglore,1 stop,5,21,745,8366
Air India,Delhi,Cochin,3 stops,1,6,1585,12383
Air India,Delhi,Cochin,2 stops,3,27,1115,8875
Jet Airways,Kolkata,Banglore,1 stop,3,24,405,11134
Air India,Delhi,Cochin,2 stops,3,6,1410,10441
Jet Airways,Kolkata,Banglore,1 stop,9,5,1520,10953
Jet Airways,Delhi,Cochin,1 stop,6,6,1005,14714
Jet Airways,Kolkata,Banglore,1 stop,12,5,960,9663
IndiGo,Banglore,Delhi,non-stop,6,21,170,4823
IndiGo,Delhi,Cochin,non-stop,6,18,195,5000
Air India,Banglore,New Delhi,2 stops,1,3,2315,25430
Air India,Delhi,Cochin,2 stops,6,27,1210,8839
Jet Airways,Banglore,New Delhi,1 stop,1,3,1090,22270
Jet Airways,Banglore,Delhi,non-stop,1,4,185,4544
Jet Airways,Banglore,Delhi,non-stop,6,27,185,7229
Jet Airways,Delhi,Cochin,1 stop,5,27,330,16289
Jet Airways,Mumbai,Hyderabad,non-stop,6,27,85,5678
IndiGo,Banglore,Delhi,non-stop,3,4,175,3419
IndiGo,Banglore,Delhi,non-stop,6,21,165,5780
Jet Airways,Banglore,New Delhi,1 stop,12,3,615,11717
Air India,Banglore,New Delhi,1 stop,9,3,700,10657
Jet Airways,Delhi,Cochin,2 stops,3,27,1475,10976
Multiple carriers,Delhi,Cochin,1 stop,5,27,690,6943
IndiGo,Banglore,Delhi,non-stop,1,5,170,3943
Jet Airways,Kolkata,Banglore,1 stop,3,24,980,14231
Jet Airways,Kolkata,Banglore,1 stop,12,5,1010,9663
Jet Airways,Kolkata,Banglore,1 stop,1,4,510,13364
IndiGo,Delhi,Cochin,1 stop,3,27,710,10351
Air India,Delhi,Cochin,1 stop,3,6,925,8669
Jet Airways,Delhi,Cochin,1 stop,6,3,925,13843
Air India,Delhi,Cochin,1 stop,3,3,1255,16142
IndiGo,Banglore,New Delhi,non-stop,3,3,170,8855
IndiGo,Kolkata,Banglore,non-stop,3,24,155,6985
Jet Airways,Delhi,Cochin,1 stop,6,6,1015,14714
Air India,Delhi,Cochin,2 stops,6,3,1580,9190
Air India,Kolkata,Banglore,1 stop,6,5,1435,10203
Jet Airways,Kolkata,Banglore,1 stop,1,4,730,12681
Jet Airways,Banglore,Delhi,non-stop,6,4,180,4544
Jet Airways,Delhi,Cochin,2 stops,5,18,830,13848
IndiGo,Banglore,Delhi,non-stop,4,27,170,3943
IndiGo,Delhi,Cochin,1 stop,3,27,505,6316
Air India,Kolkata,Banglore,2 stops,5,24,1045,12723
Jet Airways,Delhi,Cochin,2 stops,3,21,1465,11869
Air India,Kolkata,Banglore,2 stops,9,5,1320,15107
Jet Airways,Banglore,New Delhi,1 stop,6,3,1475,17261
Multiple carriers,Delhi,Cochin,1 stop,5,21,720,7888
Jet Airways,Delhi,Cochin,1 stop,5,18,1355,12373
Jet Airways,Delhi,Cochin,1 stop,9,5,395,15554
Jet Airways,Kolkata,Banglore,1 stop,5,24,1295,14151
Jet Airways,Kolkata,Banglore,1 stop,5,15,1365,14151
Jet Airways,Mumbai,Hyderabad,1 stop,12,3,815,22294
IndiGo,Banglore,Delhi,non-stop,5,24,175,4823
Jet Airways,Kolkata,Banglore,1 stop,6,5,435,9358
Jet Airways,Kolkata,Banglore,1 stop,9,5,870,10953
Jet Airways,Delhi,Cochin,1 stop,6,27,395,12898
Jet Airways,Kolkata,Banglore,1 stop,1,4,1545,7064
IndiGo,Banglore,Delhi,non-stop,4,27,175,4823
Jet Airways,Delhi,Cochin,1 stop,9,6,1270,10262
Air Asia,Banglore,Delhi,non-stop,6,6,170,7120
Jet Airways,Banglore,New Delhi,1 stop,9,3,800,11087
Jet Airways,Delhi,Cochin,1 stop,5,27,620,16376
Jet Airways,Delhi,Cochin,1 stop,6,6,925,14714
Multiple carriers,Delhi,Cochin,1 stop,3,6,720,12402
Air India,Kolkata,Banglore,1 stop,12,5,245,8996
Jet Airways,Delhi,Cochin,1 stop,9,5,360,12373
Jet Airways,Delhi,Cochin,1 stop,5,27,1530,12898
Multiple carriers,Delhi,Cochin,1 stop,5,21,470,7575
IndiGo,Kolkata,Banglore,non-stop,5,15,155,4804
Jet Airways,Banglore,New Delhi,1 stop,6,3,695,17261
Multiple carriers,Delhi,Cochin,1 stop,6,3,465,15342
SpiceJet,Chennai,Kolkata,non-stop,3,5,140,3543
Air India,Kolkata,Banglore,2 stops,6,6,1045,12723
Jet Airways,Delhi,Cochin,1 stop,3,3,655,17024
Jet Airways,Banglore,New Delhi,1 stop,12,3,980,13817
Air Asia,Kolkata,Banglore,1 stop,12,6,220,5162
Multiple carriers,Delhi,Cochin,1 stop,3,27,665,12327
Multiple carriers,Delhi,Cochin,1 stop,3,27,690,6305
Jet Airways,Delhi,Cochin,2 stops,9,5,1775,15129
Multiple carriers,Delhi,Cochin,1 stop,5,18,730,14533
IndiGo,Mumbai,Hyderabad,non-stop,3,15,90,4049
Jet Airways,Delhi,Cochin,1 stop,5,21,395,12898
Jet Airways,Mumbai,Hyderabad,non-stop,1,5,85,4995
Jet Airways,Delhi,Cochin,2 stops,6,24,1375,10368
Jet Airways,Banglore,Delhi,non-stop,9,4,180,7229
Air India,Delhi,Cochin,2 stops,5,21,800,10861
Multiple carriers,Delhi,Cochin,1 stop,5,18,755,7564
Jet Airways,Delhi,Cochin,1 stop,5,18,1325,12373
IndiGo,Delhi,Cochin,1 stop,9,3,575,13611
IndiGo,Banglore,New Delhi,non-stop,3,3,165,6144
Air Asia,Kolkata,Banglore,non-stop,1,5,150,4409
Multiple carriers,Delhi,Cochin,1 stop,1,6,435,13377
Jet Airways,Delhi,Cochin,1 stop,3,6,1325,10262
Air India,Banglore,New Delhi,non-stop,3,18,165,11633
Air India,Kolkata,Banglore,1 stop,9,5,1440,6528
Jet Airways,Mumbai,Hyderabad,2 stops,6,3,1260,24210
IndiGo,Delhi,Cochin,1 stop,3,3,425,14871
Air India,Kolkata,Banglore,2 stops,6,6,970,14960
Jet Airways,Banglore,New Delhi,1 stop,6,3,700,16736
IndiGo,Kolkata,Banglore,1 stop,4,24,220,4226
Multiple carriers,Delhi,Cochin,1 stop,6,24,540,12717
Multiple carriers,Delhi,Cochin,1 stop,9,5,720,10197
Jet Airways,Delhi,Cochin,1 stop,5,27,1210,12898
Jet Airways,Banglore,Delhi,non-stop,6,15,175,7229
Jet Airways,Banglore,New Delhi,1 stop,1,3,1420,22270
Multiple carriers,Delhi,Cochin,1 stop,5,24,390,8283
Multiple carriers,Delhi,Cochin,1 stop,1,6,540,7038
SpiceJet,Kolkata,Banglore,non-stop,6,27,145,3841
Multiple carriers,Delhi,Cochin,1 stop,3,27,395,7845
SpiceJet,Chennai,Kolkata,non-stop,5,18,135,3597
IndiGo,Delhi,Cochin,1 stop,5,27,810,6526
Jet Airways,Delhi,Cochin,non-stop,6,21,195,4256
Air India,Kolkata,Banglore,1 stop,3,24,1700,6535
Jet Airways,Delhi,Cochin,2 stops,6,27,1460,14300
SpiceJet,Banglore,New Delhi,non-stop,3,24,175,6309
IndiGo,Banglore,Delhi,non-stop,4,21,165,4423
Jet Airways,Delhi,Cochin,1 stop,1,4,540,5406
IndiGo,Delhi,Cochin,1 stop,3,27,645,7048
SpiceJet,Mumbai,Hyderabad,non-stop,6,3,80,4129
Jet Airways,Delhi,Cochin,1 stop,5,27,1415,12898
Jet Airways,Kolkata,Banglore,1 stop,5,24,875,13731
Jet Airways,Kolkata,Banglore,1 stop,1,5,875,8586
IndiGo,Kolkata,Banglore,1 stop,1,5,330,6111
GoAir,Delhi,Cochin,1 stop,9,6,310,9069
Air India,Kolkata,Banglore,1 stop,6,5,890,6117
Jet Airways,Kolkata,Banglore,1 stop,9,6,435,5608
Air India,Mumbai,Hyderabad,non-stop,6,18,80,3100
IndiGo,Mumbai,Hyderabad,non-stop,3,24,90,3175
Air Asia,Kolkata,Banglore,non-stop,6,27,150,3807
Jet Airways,Delhi,Cochin,1 stop,6,6,1210,14714
Jet Airways,Delhi,Cochin,1 stop,3,27,1280,12452
Jet Airways,Kolkata,Banglore,1 stop,3,24,1695,11134
IndiGo,Mumbai,Hyderabad,non-stop,9,5,90,4784
Air India,Delhi,Cochin,non-stop,4,27,170,6094
IndiGo,Delhi,Cochin,1 stop,6,15,290,6147
GoAir,Delhi,Cochin,1 stop,3,21,350,9385
IndiGo,Banglore,Delhi,non-stop,1,6,170,3419
SpiceJet,Banglore,Delhi,non-stop,5,18,175,3919
IndiGo,Delhi,Cochin,1 stop,9,4,415,6573
Jet Airways,Delhi,Cochin,1 stop,6,6,1530,14714
IndiGo,Banglore,Delhi,non-stop,6,18,170,3943
Jet Airways,Kolkata,Banglore,1 stop,1,5,845,13941
Air India,Kolkata,Banglore,1 stop,6,5,675,7452
SpiceJet,Mumbai,Hyderabad,non-stop,1,6,90,1965
Jet Airways,Banglore,New Delhi,1 stop,9,3,800,11087
Multiple carriers Premium economy,Delhi,Cochin,1 stop,3,21,620,10161
IndiGo,Banglore,Delhi,non-stop,5,18,175,4823
Air India,Mumbai,Hyderabad,non-stop,5,24,90,3100
Air India,Delhi,Cochin,1 stop,6,6,615,8372
IndiGo,Banglore,New Delhi,1 stop,3,15,295,5397
Jet Airways,Banglore,New Delhi,1 stop,12,3,1310,11087
SpiceJet,Chennai,Kolkata,non-stop,3,24,140,5418
Air Asia,Banglore,New Delhi,non-stop,3,3,165,6477
IndiGo,Delhi,Cochin,1 stop,9,6,940,6442
Jet Airways,Kolkata,Banglore,1 stop,1,4,1640,7064
Jet Airways,Kolkata,Banglore,1 stop,9,6,1500,14151
SpiceJet,Mumbai,Hyderabad,non-stop,5,27,90,2017
IndiGo,Delhi,Cochin,1 stop,9,6,625,6314
Jet Airways,Banglore,New Delhi,1 stop,12,3,1170,11087
Jet Airways,Kolkata,Banglore,1 stop,5,15,1285,14781
Jet Airways,Delhi,Cochin,2 stops,9,5,425,15544
IndiGo,Delhi,Cochin,1 stop,5,27,965,8784
Jet Airways,Delhi,Cochin,1 stop,6,3,1015,13843
Air Asia,Kolkata,Banglore,non-stop,9,3,155,4384
Jet Airways,Delhi,Cochin,2 stops,5,21,1430,15129
Jet Airways,Delhi,Cochin,2 stops,12,6,1125,10368
IndiGo,Chennai,Kolkata,non-stop,6,3,145,7295
Jet Airways,Delhi,Cochin,2 stops,9,5,440,19644
Multiple carriers,Delhi,Cochin,1 stop,5,15,760,7670
Vistara,Kolkata,Banglore,1 stop,9,5,965,9187
Air India,Delhi,Cochin,non-stop,6,21,185,5411
Jet Airways,Kolkata,Banglore,1 stop,6,5,870,13067
Air India,Banglore,New Delhi,2 stops,3,18,575,12935
Multiple carriers Premium economy,Delhi,Cochin,1 stop,3,21,570,11269
SpiceJet,Banglore,Delhi,non-stop,5,15,160,3257
Jet Airways,Delhi,Cochin,2 stops,5,27,505,15318
GoAir,Banglore,Delhi,non-stop,4,27,165,3898
Air India,Delhi,Cochin,non-stop,3,18,170,5674
IndiGo,Delhi,Cochin,1 stop,3,3,370,11237
Air India,Delhi,Cochin,2 stops,9,6,1600,10756
IndiGo,Kolkata,Banglore,non-stop,3,15,155,4148
Jet Airways,Delhi,Cochin,1 stop,6,27,660,10262
Air India,Banglore,New Delhi,1 stop,1,3,370,11628
Multiple carriers,Delhi,Cochin,1 stop,9,3,870,11249
Vistara,Delhi,Cochin,non-stop,9,4,190,5586
Air India,Kolkata,Banglore,2 stops,1,5,1700,15532
SpiceJet,Mumbai,Hyderabad,non-stop,6,6,90,2647
Jet Airways,Mumbai,Hyderabad,non-stop,6,18,90,3210
SpiceJet,Kolkata,Banglore,non-stop,12,6,140,3841
Jet Airways,Banglore,New Delhi,1 stop,3,18,1235,12284
IndiGo,Kolkata,Banglore,non-stop,4,21,150,5644
Vistara,Banglore,Delhi,non-stop,4,24,155,5613
Jet Airways,Delhi,Cochin,1 stop,3,6,1105,11627
Multiple carriers,Delhi,Cochin,1 stop,3,27,660,6883
SpiceJet,Banglore,Delhi,non-stop,12,5,170,4319
Air India,Delhi,Cochin,non-stop,4,24,170,5201
Jet Airways,Delhi,Cochin,2 stops,3,21,600,7791
Vistara,Kolkata,Banglore,1 stop,1,5,790,8610
Multiple carriers,Delhi,Cochin,1 stop,5,18,640,7670
Multiple carriers,Delhi,Cochin,1 stop,12,6,600,12192
IndiGo,Delhi,Cochin,1 stop,5,15,575,6979
Jet Airways,Kolkata,Banglore,1 stop,5,24,1080,12121
Jet Airways,Kolkata,Banglore,1 stop,3,24,965,13339
IndiGo,Banglore,Delhi,non-stop,6,27,170,3419
Jet Airways,Kolkata,Banglore,1 stop,9,5,1090,7757
Multiple carriers,Delhi,Cochin,1 stop,6,24,780,7618
Jet Airways,Delhi,Cochin,2 stops,9,6,560,13014
Jet Airways,Delhi,Cochin,2 stops,6,15,1375,13014
Jet Airways,Kolkata,Banglore,1 stop,5,21,1005,13067
Jet Airways,Banglore,New Delhi,non-stop,3,24,175,7229
IndiGo,Delhi,Cochin,non-stop,1,6,195,6541
IndiGo,Mumbai,Hyderabad,non-stop,6,5,90,2754
Jet Airways,Mumbai,Hyderabad,non-stop,3,24,90,5678
SpiceJet,Chennai,Kolkata,non-stop,6,5,135,3543
Air India,Banglore,New Delhi,1 stop,3,18,1730,11161
IndiGo,Kolkata,Banglore,non-stop,12,4,155,4174
Jet Airways,Delhi,Cochin,1 stop,9,5,1270,12373
Multiple carriers,Delhi,Cochin,1 stop,3,6,630,9001
IndiGo,Banglore,Delhi,non-stop,3,6,175,4823
IndiGo,Delhi,Cochin,1 stop,5,21,320,5530
Jet Airways,Delhi,Cochin,2 stops,6,24,1300,13376
Jet Airways,Delhi,Cochin,1 stop,6,15,660,10262
Multiple carriers,Delhi,Cochin,1 stop,3,3,840,15603
Jet Airways,Kolkata,Banglore,1 stop,9,5,570,10844
Air India,Delhi,Cochin,3 stops,6,6,2280,10703
Jet Airways,Delhi,Cochin,1 stop,5,21,620,12898
Jet Airways,Kolkata,Banglore,1 stop,6,5,750,10703
Jet Airways,Banglore,New Delhi,1 stop,3,18,450,14815
Jet Airways,Kolkata,Banglore,1 stop,6,5,1200,9663
Jet Airways,Mumbai,Hyderabad,non-stop,6,6,85,5678
Jet Airways,Kolkata,Banglore,1 stop,5,18,730,9663
Air India,Kolkata,Banglore,2 stops,9,6,1830,10151
Jet Airways,Delhi,Cochin,2 stops,6,24,810,13014
Multiple carriers,Delhi,Cochin,1 stop,1,6,560,7740
SpiceJet,Delhi,Cochin,1 stop,1,6,380,7317
Jet Airways,Banglore,Delhi,non-stop,4,27,180,7229
Air India,Banglore,Delhi,non-stop,3,4,170,5176
IndiGo,Kolkata,Banglore,non-stop,3,21,165,4148
SpiceJet,Kolkata,Banglore,non-stop,6,15,145,3873
Air India,Delhi,Cochin,1 stop,6,27,795,8907
IndiGo,Banglore,New Delhi,non-stop,9,3,175,7303
Air India,Banglore,Delhi,non-stop,1,4,165,5176
Air India,Mumbai,Hyderabad,non-stop,6,5,90,3625
Multiple carriers,Delhi,Cochin,1 stop,3,6,520,11789
Jet Airways,Kolkata,Banglore,1 stop,5,21,1335,10844
Air India,Delhi,Cochin,1 stop,5,18,375,10191
Jet Airways,Banglore,Delhi,non-stop,9,6,165,8016
Air India,Kolkata,Banglore,2 stops,1,5,1665,15164
SpiceJet,Kolkata,Banglore,non-stop,6,4,145,3841
Air India,Delhi,Cochin,2 stops,5,27,1275,10231
Jet Airways,Delhi,Cochin,1 stop,12,6,1040,10262
Jet Airways,Kolkata,Banglore,1 stop,12,5,1150,10844
Air India,Delhi,Cochin,2 stops,3,6,1245,11753
Multiple carriers,Delhi,Cochin,1 stop,9,5,925,8310
Jet Airways,Mumbai,Hyderabad,non-stop,1,6,85,4050
Multiple carriers,Delhi,Cochin,1 stop,6,3,480,15603
SpiceJet,Chennai,Kolkata,non-stop,3,27,135,3332
SpiceJet,Banglore,Delhi,non-stop,6,18,175,3971
IndiGo,Delhi,Cochin,1 stop,5,15,345,7189
Jet Airways,Mumbai,Hyderabad,non-stop,6,18,85,4995
Jet Airways,Banglore,New Delhi,1 stop,12,3,1590,12547
Multiple carriers,Delhi,Cochin,1 stop,5,15,520,7575
Jet Airways,Delhi,Cochin,2 stops,3,27,1325,12273
Multiple carriers,Delhi,Cochin,1 stop,5,21,480,14067
Multiple carriers,Delhi,Cochin,1 stop,3,3,610,15147
Jet Airways,Delhi,Cochin,2 stops,3,21,1420,6643
Jet Airways,Kolkata,Banglore,1 stop,6,5,590,10844
SpiceJet,Mumbai,Hyderabad,non-stop,6,15,90,2017
Jet Airways,Delhi,Cochin,1 stop,6,27,395,16079
Air India,Banglore,New Delhi,non-stop,9,3,165,10741
Air India,Kolkata,Banglore,non-stop,5,18,150,6245
IndiGo,Delhi,Cochin,1 stop,6,4,320,5298
SpiceJet,Delhi,Cochin,1 stop,4,21,270,6356
Air India,Delhi,Cochin,2 stops,12,6,1470,12488
IndiGo,Delhi,Cochin,1 stop,3,6,835,6442
Jet Airways,Banglore,New Delhi,1 stop,6,3,1055,13502
Vistara,Banglore,New Delhi,1 stop,3,15,1665,6590
IndiGo,Mumbai,Hyderabad,non-stop,12,6,90,2754
Air India,Delhi,Cochin,2 stops,3,27,1595,8656
Jet Airways,Delhi,Cochin,1 stop,5,21,1325,16079
Multiple carriers,Delhi,Cochin,1 stop,9,3,665,18492
Air India,Banglore,New Delhi,2 stops,1,3,1600,26480
Multiple carriers,Delhi,Cochin,1 stop,6,3,730,15135
Jet Airways,Delhi,Cochin,2 stops,5,27,810,13029
Air India,Kolkata,Banglore,non-stop,6,4,155,4460
Multiple carriers,Delhi,Cochin,1 stop,3,27,640,6637
IndiGo,Kolkata,Banglore,1 stop,5,15,290,5069
SpiceJet,Chennai,Kolkata,non-stop,6,15,135,3597
Air India,Kolkata,Banglore,2 stops,9,5,1195,9416
Air India,Delhi,Cochin,2 stops,3,27,1100,10178
Vistara,Kolkata,Banglore,1 stop,5,21,790,9345
Jet Airways,Mumbai,Hyderabad,non-stop,6,18,90,8040
Air India,Kolkata,Banglore,2 stops,5,15,1255,15532
Jet Airways,Kolkata,Banglore,1 stop,1,4,1550,7064
IndiGo,Chennai,Kolkata,non-stop,6,3,135,7295
IndiGo,Mumbai,Hyderabad,non-stop,5,15,95,2227
Jet Airways,Banglore,New Delhi,1 stop,3,18,565,11087
Air India,Kolkata,Banglore,2 stops,5,24,1100,14083
Air India,Delhi,Cochin,1 stop,9,6,765,7690
Vistara,Banglore,Delhi,non-stop,4,27,165,5613
Vistara,Kolkata,Banglore,1 stop,5,21,1640,9345
Multiple carriers,Delhi,Cochin,1 stop,6,24,505,10678
Air Asia,Delhi,Cochin,1 stop,12,6,625,6152
Jet Airways,Kolkata,Banglore,1 stop,1,5,330,14388
Jet Airways,Banglore,New Delhi,1 stop,1,3,1290,25735
Air Asia,Kolkata,Banglore,1 stop,5,21,220,5162
Air India,Banglore,New Delhi,1 stop,3,21,725,5092
IndiGo,Kolkata,Banglore,non-stop,12,4,155,4174
Air India,Kolkata,Banglore,2 stops,5,18,920,13243
Air India,Delhi,Cochin,non-stop,5,15,180,6094
Air India,Delhi,Cochin,1 stop,5,21,965,7480
Air India,Delhi,Cochin,non-stop,4,18,170,6094
Air India,Mumbai,Hyderabad,2 stops,6,3,1995,14219
Jet Airways,Delhi,Cochin,2 stops,3,27,1475,8882
Air India,Kolkata,Banglore,2 stops,6,6,1105,15894
Jet Airways,Delhi,Cochin,1 stop,3,6,1395,10262
Jet Airways,Delhi,Cochin,2 stops,6,24,1430,12819
Air India,Delhi,Cochin,1 stop,6,6,795,8907
Air India,Delhi,Cochin,2 stops,3,3,2240,13748
Jet Airways,Delhi,Cochin,2 stops,3,27,820,8728
Air Asia,Kolkata,Banglore,1 stop,1,5,220,6857
IndiGo,Kolkata,Banglore,non-stop,3,21,155,5198
Jet Airways,Delhi,Cochin,1 stop,1,6,865,10262
Multiple carriers,Delhi,Cochin,1 stop,3,21,765,7695
Air India,Kolkata,Banglore,1 stop,1,5,555,10203
Jet Airways,Delhi,Cochin,1 stop,6,6,865,14714
Jet Airways,Kolkata,Banglore,1 stop,1,4,865,7064
IndiGo,Delhi,Cochin,non-stop,3,4,195,4729
Multiple carriers,Delhi,Cochin,1 stop,6,3,680,15411
IndiGo,Banglore,New Delhi,non-stop,3,15,170,6144
Air India,Banglore,New Delhi,1 stop,6,3,725,15434
Jet Airways,Mumbai,Hyderabad,non-stop,3,15,90,2759
Jet Airways,Banglore,New Delhi,1 stop,6,3,1165,17261
Air India,Banglore,New Delhi,1 stop,1,3,1405,12599
SpiceJet,Mumbai,Hyderabad,non-stop,3,15,80,2385
Jet Airways,Delhi,Cochin,2 stops,3,21,1060,7791
Jet Airways,Delhi,Cochin,1 stop,3,21,590,7438
Jet Airways,Delhi,Cochin,2 stops,5,18,1125,13029
GoAir,Banglore,New Delhi,non-stop,3,3,175,7222
IndiGo,Kolkata,Banglore,non-stop,3,3,165,5618
Jet Airways,Delhi,Cochin,2 stops,6,27,1140,13882
GoAir,Kolkata,Banglore,non-stop,6,24,155,3514
Jet Airways,Delhi,Cochin,2 stops,6,24,440,15812
Multiple carriers,Delhi,Cochin,1 stop,6,24,480,13377
Jet Airways,Delhi,Cochin,1 stop,3,6,1620,10262
Air India,Banglore,New Delhi,1 stop,3,18,495,13859
Multiple carriers,Delhi,Cochin,1 stop,6,3,510,15603
Air India,Delhi,Cochin,2 stops,6,15,1210,8839
IndiGo,Kolkata,Banglore,non-stop,5,24,155,4804
Jet Airways,Delhi,Cochin,2 stops,9,5,1760,16704
IndiGo,Kolkata,Banglore,non-stop,5,27,165,4804
IndiGo,Delhi,Cochin,1 stop,5,18,325,7464
Jet Airways,Kolkata,Banglore,1 stop,5,15,1080,11467
Jet Airways,Banglore,Delhi,non-stop,6,21,180,5769
Jet Airways,Delhi,Cochin,2 stops,3,27,1380,11664
IndiGo,Kolkata,Banglore,non-stop,4,24,155,4804
IndiGo,Kolkata,Banglore,non-stop,6,21,155,4804
Jet Airways,Banglore,New Delhi,1 stop,12,3,280,12295
IndiGo,Chennai,Kolkata,non-stop,12,5,140,3850
IndiGo,Delhi,Cochin,non-stop,3,21,185,5406
Jet Airways,Delhi,Cochin,non-stop,1,6,195,7202
Air India,Kolkata,Banglore,1 stop,5,18,1615,10623
Jet Airways,Kolkata,Banglore,1 stop,6,5,1640,9663
Jet Airways,Banglore,Delhi,non-stop,4,21,180,6144
Jet Airways,Kolkata,Banglore,1 stop,6,5,1450,8066
Jet Airways,Banglore,Delhi,non-stop,4,21,165,7229
SpiceJet,Kolkata,Banglore,non-stop,3,4,150,3841
IndiGo,Chennai,Kolkata,non-stop,9,3,155,6297
IndiGo,Chennai,Kolkata,non-stop,6,21,140,3597
Jet Airways,Kolkata,Banglore,1 stop,9,5,705,14781
Air India,Delhi,Cochin,2 stops,12,6,1220,10975
